"Treatment","Shootheight","Stalk","Numleaves","Rootlength","Adventitious","Shootweight","AMFcolonization"
"Control",74,2.5,9,48,10,9.04,0
"Control",62,2,10,54.5,9,10.21,0
"Control",70,1.875,12,38,10,7.39,0
"Control",82,2,12,56,11,8.91,0
"Control",71,1.875,9,54,13,9.44,0
"Control",79,2,10,46,9,8.36,0
"Control",63,2,11,48,12,8.06,0
"Control",67.6,1.6,9,32,10,7.81,0
"Control",82,2,10,42,9,12.45,0
"Control",84,2.5,9,60,11,11.47,0
"Control",81,1.8,11,36,9,7.26,0
"Control",65,1.7,8,41,10,9.82,0
"EBPR",79,2,7,46,17,12.43,0
"EBPR",82,2.5,11,33,12,11.6,0
"EBPR",89,2.625,9,39,14,12.54,0
"EBPR",74,2,11,38,17,14.55,0
"EBPR",90,2,10,33,14,11.37,0
"EBPR",81,2.5,12,40,16,16.23,0
"EBPR",75,2.25,12,28,11,11.55,0
"EBPR",82,2.5,10,37,11,14.16,0
"EBPR",84,2.5,11,36,12,12.42,0
"EBPR",88,3,12,44,18,16.03,0
"EBPR",81,2.5,10,39,14,12.94,0
"EBPR",92,2.5,11,42,15,14.14,0
"Vermont",82,2,10,45,16,10.8,0
"Vermont",90,2.75,13,88,18,17.25,0
"Vermont",89,2,9,51,13,11.29,0
"Vermont",72,2.25,11,41,15,8.7,0
"Vermont",81,2,10,61,16,10.03,0
"Vermont",91,2.75,13,61,15,13.26,0
"Vermont",74,1.75,11,53,16,12.06,0
"Vermont",100,2.25,16,66,12,19.02,0
"Vermont",82,2,10,52,15,10.13,0
"Vermont",84,2,12,45,17,10.27,0
"Vermont",71,2.5,13,59,14,9.32,0
"Vermont",92,1.5,10,49,13,9.03,0
"AMF",69,1.75,10,49,11,5.46,35
"AMF",87,1.75,11,56,12,7.02,22
"AMF",65,1.5,10,51,7,4.19,14
"AMF",74,1.5,11,51,10,6.03,32
"AMF",78,2,9,56,10,8.58,8
"AMF",81,2,10,47,13,9.91,42
"AMF",72,1.75,11,42,10,7.04,28
"AMF",81,1.25,10,46,11,12.62,19
"AMF",75,1.5,10,39,13,7.65,20
"AMF",82,2,9,40,13,12.04,37
"AMF",67,1.75,11,45,12,8.55,29
"AMF",66,1.75,10,34,10,6.67,15
"EBPR_AMF",102,2.5,11,79,19,14.24,23
"EBPR_AMF",95,3.5,14,62,22,14.02,30
"EBPR_AMF",80,2.5,12,52,18,8.98,28
"EBPR_AMF",82,2.6,11,53,18,9.84,43
"EBPR_AMF",95,2.75,12,66,24,16.53,38
"EBPR_AMF",90,2.375,13,51,22,10.74,12
"EBPR_AMF",98,2.4,12,60,19,12.81,6
"EBPR_AMF",87,2.25,11,49,16,10.61,8
"EBPR_AMF",101,2.5,17,48,17,14.27,25
"EBPR_AMF",82,3,16,52,18,8.4,31
"EBPR_AMF",81,2.25,12,53,17,8.63,17
"EBPR_AMF",90,2.9,13,52,21,10.39,15
"Vermont_AMF",72,1.8,11,49,11,6.84,30
"Vermont_AMF",70,1.5,11,41,9,5.7,28
"Vermont_AMF",78,1.6,10,48,7,6.7,23
"Vermont_AMF",68,1.8,12,56,13,7.61,16
"Vermont_AMF",77,1.5,10,50,13,6.55,11
"Vermont_AMF",78,1.9,10,41,11,8.42,48
"Vermont_AMF",69,1.6,11,51,11,6.53,31
"Vermont_AMF",80,1.7,10,47,10,7.15,10
"Vermont_AMF",70,1.55,9,43,11,6.51,7
"Vermont_AMF",73,1.3,10,40,10,6.13,41
"Vermont_AMF",71,1.9,9,55,9,7.66,30
"Vermont_AMF",70,1.8,10,46,11,7.08,9
