"A1","A11","A12","A2","A3","A4","A6","A7","A8","A9","C10","C11","C12","C2","C3","C4","C6","C7","C8","C9","E1","E10","E11","E12","E3","E5","E6","E7","E8","E9","EA1","EA10","EA11","EA12","EA3","EA4","EA5","EA6","EA8","EA9","V1","V10","V11","V12","V2","V4","V6","V7","V8","V9","VA1","VA10","VA11","VA12","VA2","VA3","VA4","VA5","VA6","VA7"
21408.47,70547.93,9757.45,36959.2,23897.82,11426.57,22765.33,31437.05,22925.95,12800.97,43934.09,31068.28,56065.92,32008.85,27716.14,35702.35,19876.09,33274.85,18297.39,61712.9,51584.64,44901.1,23162.26,17259.81,14874.75,27941.76,21572.71,18977.42,21099.09,17216.51,19838.69,24310.66,18290.8,11451.46,12130.41,11330.55,14537.54,25679.96,36038.3,26874.75,28914.45,67809.11,51198.93,70385.08,35822.04,31444.49,75767.16,49331.97,54944.6,43208.45,17930.62,21495.36,15525.26,31843.43,19475.14,22386.5,20205.89,32258.73,21772.87,34246.07
193007.33,429208.05,122817.84,240372.41,239097.57,140574.14,206240.17,192827.75,228003.37,162428.08,279890.58,255535.23,309254.73,271602.84,164139.06,213455.55,199381.78,280123.34,191036.54,351832.23,472113.73,481095.75,231200.48,158460.84,143384.76,283681.47,193914.49,193135.23,194918.35,166677.65,179054.24,229576.7,189445.82,114443.83,117890.65,112961.91,150978.01,241725.09,366129.29,282727.29,167818.97,367547.78,340361.88,420122.2,233569.92,183482.67,458200.46,322923.84,385823.73,260903.4,111007.1,202976.81,141757.9,185975.94,142341,179064.12,189035.12,193866.52,179728.56,197605.33
297765.75,700564.34,186845.66,391295.92,375391.9,216404.19,315160.11,316135.95,356540.69,245496.31,455394.87,401377.04,510952.8,424315.49,267856.49,350967.76,322062.38,439743.42,309132.43,578262.57,743210.11,740679.39,354644.96,247640.33,218016.3,426191.15,305841.64,295433.76,290074.82,252339.22,271969.66,349800.36,300045.16,178084.17,185704.72,176009.98,239485.13,367229.94,575464.17,449744.71,288902.5,642624.18,563864.03,712110.25,392354.97,315749.74,785446.49,542000.61,638515.52,440869.86,182574.63,302246.42,213078.59,319613.16,227803.36,277627.62,280457.39,329465.76,282358.49,337948.14
73932.93,213442.19,42568.71,116289.73,97360.86,50378.25,78177.18,95043.3,91096.84,56820.86,137816.46,111141.56,159152.6,114137.75,79852.61,108050.54,87238.7,118458.05,82541.04,177520.08,214781.23,194552.67,92308.52,69438.31,56525.15,113331.14,86700.82,79630.43,77576.53,68539.07,77433.9,98214.2,80129.95,50276.55,53370.07,48605.01,63663.18,102109.84,159931.6,119798.66,102303.55,231467.55,182953.61,241244.22,127340.81,107444.89,270148.87,174133.15,202958.47,149688.89,56681.2,80215.84,57301.47,103578.82,67195,79791.77,74500.62,106396.7,79244.07,110791.14
0,24,0,0,0,19,0,11,16,22,0,18,0,12,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,20,0,0,10,0,0,0,6,0,18,18,0,0,21,0,21,0,0,0,21,0,12,0,0,0,0,21,0,0,0,0
188273.99,409382.87,123912.63,231499.47,238367.29,139048.46,197432.66,186666.37,226503.98,162524.01,254812.43,238287.1,282467.17,253688.2,151828.87,193422.13,200064.72,260930.15,190240.47,322800.72,485476.74,476060.06,224015.64,164064.18,135487.33,275981.37,199796.36,189869.67,179751.3,160547.99,170809.94,221551.77,189056.91,112554.29,114593.84,110345.84,152090.22,234265.61,366453.14,285174.33,150978.11,318815.7,318592.68,376372.43,219327.09,166578.87,418874.13,307302.73,363432.73,239533.79,105354.29,191019.56,132592.67,175363.41,141015.32,175601.04,174178.49,183751.87,178006.48,185144.62
120525.08,295472.45,73917.17,164003.15,150439.62,83573.35,126064.04,132613.99,141620.06,96171.69,199575.86,165817.39,213672.58,173568.16,110613.99,153798.8,127812.34,180058.07,120418.46,240628.78,282921.43,286009.17,137040.87,94076.24,83349.43,171141.88,115777.56,115765.25,112558.97,101243.74,113579.53,145434.89,119179.25,71977.83,74000.81,69395.64,93680.67,154446.18,228773.17,175025.05,144086.46,317675.01,259941.44,339279.27,180307.31,148763.44,382853.01,249703.26,294517.8,207965.04,77253.46,120452.67,85760.29,144295.41,96639.11,116875.6,110755.26,149273.99,116287.6,153010.79
19236.35,45189.69,11509.63,25086.79,22489.7,14346.04,20710.88,19839.36,21695.46,15597.81,25523.64,27653.68,33187.99,29033.5,17368.83,18565.96,19547.66,30028.71,19232.96,37709.66,40107.63,44889.99,22904.01,14006.31,13842.34,24727.39,16897.19,18646.3,18839.53,14825.93,18214.7,23998.57,18993.49,11889.17,12654.84,11705.52,15408.59,24957,38338.93,29374.91,12956.03,28934.52,27572.87,35937.64,18942.03,15727.23,37065.71,27051.37,32434.1,22344.52,9570.36,18942.97,13400.65,15202.03,12667.59,16725.08,17787.76,16229.05,16598.25,16369.75
284632.36,676242.55,184675.95,376791.01,378770.59,210661.67,300573.92,303810.59,362106.72,243390.81,419443.95,383052.05,479578.98,405457.21,253061.73,319214.3,322943.42,417800.56,307286.35,545134.81,771229.23,760378.46,361054.83,255784.13,221450.49,441531,315622.44,302291.92,299022.83,259267.45,279875.8,359817.95,302842.73,180036.18,185559.27,178518.02,241340.61,378428.74,584682.26,452747.61,267607.75,582633.64,535113.66,660400.96,369535.86,291696.39,733431.15,514981.29,610707.57,415354.62,170870.22,313602.02,218909.09,293292.54,221497.5,276773.01,289758.82,304894.84,276955.19,309994.48
0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,90,0,0,61,0,0,0,0,0,0,0,48,0
69583.6,156452.33,44183.36,86071.19,86504.22,51101.5,74705.53,69593.25,84009.42,58729.62,100494.24,90529.31,111795.21,96033.5,59343.71,76990.94,72576.23,98974.04,69822.96,127031.82,177925.81,174824.71,83026.18,59847.09,50989.38,101334.6,72737.69,70470.47,69312.18,58339.53,64763.65,83714.78,69245.47,42610.12,43822.35,41629.34,56526.78,87138.67,137856.45,106600.54,62038.61,135468.69,123758.02,153999.51,84348.5,66955.12,168196.6,117742.06,141260.08,95131.88,40789.08,71365.5,50017.13,68841.75,53662.77,65384.37,66632.37,71472.07,64842.93,72985.87
0,0,10,25,0,0,0,0,0,0,0,27,29,42,14,0,6,22,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,32,22,40,0,0,21,0,0,23,0,0,0,0,11,0,0,0,15,0
17310.63,44591.55,11576.82,23812.17,25616.16,13038.64,18669.47,19422.87,24463.12,15140.26,27173.17,22281.15,31776.56,23277.89,16261.49,21111.18,22661.11,24540.46,21324.37,35906.78,53306.11,50621.4,24276,17065.51,15127.76,29871.27,21569.08,19888.11,20620.2,17670.5,18779.6,23710.75,20043.19,11900.24,12182.7,11354.46,15543.2,25044.06,38469.21,29183.18,17132.47,38863.3,35316.57,43161.76,23845.92,19112.26,46728.89,33093.16,40094.92,28002.98,11669.25,21297.27,14829.2,19109.8,13996.74,17737.62,20027.91,19581.91,17916.18,20167.36
366880.61,900296.68,224156.18,503440.74,456764.8,254995.72,385144.22,411406.59,432100.68,293564.7,575333.88,505430.06,658050.88,536197.03,345552.29,446466.25,392158.47,548658.51,371282.29,744722.04,938350.72,903154.22,427298.97,313258,261829.68,523900.38,387099.22,362677.95,350326.69,311612.3,339457.72,431354.56,363233.82,215390.74,223570.24,213156.61,287013.95,455959.96,694742.72,535324.5,372300.22,826683.75,712576.28,913152.81,491660.13,403167.73,997395.42,681569.36,801815.32,565547.7,235784.88,373495.42,263543.81,420854.33,295327.8,353895.43,342968.48,436842.89,355374.29,446344.08
0,48.17,0,0,0,0,0,0,0,0,217,0,0,0,21,232,15.83,0,11,50,25.67,29.33,29.83,0,14.5,40.17,12.33,16.17,28.5,10.67,30.5,44.5,16.5,26.67,30,19.33,16.17,83.5,77.17,36.33,144,319,407.5,292.83,345,193,383.5,433,260.67,246,104,19.67,13.17,53,63,9,21.83,68,13,71
96973.56,203037.57,66679.32,115517.89,127329.74,75542.5,103068.5,91893.77,121552.91,87986.03,130919.85,123536.2,144181.29,132306.25,78673.55,98057.08,110389,137278.17,104178.86,165480.59,254370.78,255726.51,117959.66,85069.96,71215.76,148818.82,104179.15,100628.54,93782.55,86101.75,88988.29,115854.87,101269.69,59721.77,60254.84,58600.78,80761.23,122665.83,195280.83,151767.81,77583.57,163292.31,166502.26,193228.79,113066.21,84660.73,215345.49,159641.75,191313.87,123012.37,51693.92,100069.22,69528.24,85297.23,70098.6,90586.51,91831.47,89400.66,92260.52,89507.95
