"Treatment","Al","B","Ca","Fe","K","Mg","Mn","Mo","Ni","P","S","Zn","Na","Cu"
"AMF",0.155,0.005,5.226,0.393,43.725,2.414,0.058,0,0.001,2.007,2.039,0.046,0.83,0.005
"AMF",0.085,0.003,4.037,0.214,24.286,2.096,0.019,0,0.001,0.933,2.533,0.022,1.536,0.004
"AMF",0.091,0.003,3.691,0.28,28.916,1.657,0.044,0.001,0.001,1.124,1.71,0.038,0.853,0.022
"AMF",0.235,0.006,7.602,0.607,42.127,3.901,0.099,0.001,0.001,1.81,2.65,0.062,1.37,0.005
"AMF",0.076,0.003,4.692,0.299,38.206,2.23,0.095,0,0.001,1.575,2.336,0.058,1.486,0.01
"AMF",0.119,0.006,6.085,0.384,41.163,2.83,0.071,0.001,0.001,1.755,2.275,0.052,1.123,0.012
"AMF",0.108,0.005,4.966,0.336,31.307,2.548,0.107,0,0.001,1.741,2.996,0.05,1.664,0.009
"AMF",0.137,0.006,5.293,0.319,33.56,2.853,0.078,0.001,0.001,1.237,2.034,0.058,0.827,0.005
"AMF",0.11,0.004,4.539,0.312,27.438,2.162,0.055,0,0.001,1.241,1.967,0.047,1.073,0.026
"AMF",0.119,0.004,5.756,0.391,47.164,2.568,0.087,0.001,0.001,1.685,1.969,0.056,0.862,0.007
"AMF",0.166,0.004,4.64,0.289,32.261,2.474,0.027,0.001,0.001,1.33,2.899,0.035,1.408,0.005
"AMF",0.114,0.004,5.44,0.339,32.025,2.349,0.059,0,0.001,1.258,2.369,0.045,1.329,0.027
"Control",0.078,0.003,2.971,0.148,12.796,1.404,0.041,0.002,0,1.226,2.021,0.046,1.527,0.009
"Control",0.093,0.001,4.445,0.241,18.56,1.71,0.022,0.001,0.001,0.728,1.853,0.033,1.372,0.005
"Control",0.045,0.001,2.846,0.147,17.353,1.499,0.04,0,0,1.203,1.399,0.038,0.709,0.009
"Control",0.07,0.003,3.877,0.209,20.268,1.581,0.046,0,0.001,0.979,1.782,0.044,1.026,0.011
"Control",0.104,0.003,4.748,0.308,33.427,2.128,0.054,0.001,0.001,0.971,2.099,0.049,1.093,0.006
