"feature","method.x","group1.x","group2.x","p_values.x","logFC","logCPM","Comparison","method.y","group1.y","group2.y","p_values.y","p_adjust","adj_method","pathway_name","pathway_description","pathway_class","pathway_map","pathway_class2","pathway_class3"
"ko00062","edgeR","Control","EBPR",5.56093731639733e-06,1.28339918475331,1.4941325910606,"Control vs EBPR","edgeR","Control","EBPR",5.56093731639733e-06,3.98283348336565e-05,"BH","Fatty acid elongation",NA,"Metabolism; Lipid metabolism","Fatty acid elongation","Metabolism"," Lipid metabolism"
"ko00196","edgeR","Control","EBPR",1.74200545395972e-08,-1.54129215035571,3.96906983146209,"Control vs EBPR","edgeR","Control","EBPR",1.74200545395972e-08,1.92346435541386e-07,"BH","Photosynthesis - antenna proteins","The chlorophyll-binding subunits of photosystems I and II are internal antenna light-harvesting proteins of oxygenic photosynthesis. The antenna proteins that exist in phycobilisomes in cyanobacteria and light-harvesting chlorophyll protein complexes in green plants act as peripheral antenna systems, enabling more efficient absorption of light energy.","Metabolism; Energy metabolism","Photosynthesis - antenna proteins","Metabolism"," Energy metabolism"
"ko00232","edgeR","Control","EBPR",3.21769449290811e-06,-1.25813454086701,6.47223779677634,"Control vs EBPR","edgeR","Control","EBPR",3.21769449290811e-06,2.36858066839069e-05,"BH","Caffeine metabolism",NA,"Metabolism; Biosynthesis of other secondary metabolites","Caffeine metabolism","Metabolism"," Biosynthesis of other secondary metabolites"
"ko00513","edgeR","Control","EBPR",3.29806773291948e-12,2.53051970829321,-0.591567260429057,"Control vs EBPR","edgeR","Control","EBPR",3.29806773291948e-12,4.59993657486138e-11,"BH","Various types of N-glycan biosynthesis",NA,"Metabolism; Glycan biosynthesis and metabolism","Various types of N-glycan biosynthesis","Metabolism"," Glycan biosynthesis and metabolism"
"ko00522","edgeR","Control","EBPR",2.67951690433639e-16,-2.28961757511513,5.00947796311442,"Control vs EBPR","edgeR","Control","EBPR",2.67951690433639e-16,5.0719427117796e-15,"BH","Biosynthesis of 12-, 14- and 16-membered macrolides",NA,"Metabolism; Metabolism of terpenoids and polyketides","Biosynthesis of 12-, 14- and 16-membered macrolides","Metabolism"," Metabolism of terpenoids and polyketides"
"ko00563","edgeR","Control","EBPR",0.00208106015891111,1.24193926631932,-2.01226414955181,"Control vs EBPR","edgeR","Control","EBPR",0.00208106015891111,0.0125336577752601,"BH","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","Cell surface proteins can be attached to the cell membrane via the glycolipid structure called glycosylphosphatidylinositol (GPI) anchor. Hundreds of GPI-anchored proteins have been identified in many eukaryotes ranging from protozoa and fungi to mammals. All protein-linked GPI anchors share a common core structure, characterized by the substructure Man (a1-4) GlcN (a1-6) myo-inositol-1P-lipid. Biosynthesis of GPI anchors proceeds in three stages: (i) preassembly of a GPI precursor in the ER membrane, (ii) attachment of the GPI to the C-terminus of a newly synthesized protein in the lumen of the ER, and (iii) lipid remodeling and/or carbohydrate side-chain modifications in the ER and the Golgi. Defects of GPI anchor biosynthesis gene result in a genetic disorder, paroxysmal nocturnal hemoglobinuria.","Metabolism; Glycan biosynthesis and metabolism","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","Metabolism"," Glycan biosynthesis and metabolism"
"ko00901","edgeR","Control","EBPR",0.00231396254868794,0.82033612669948,4.32202353009877,"Control vs EBPR","edgeR","Control","EBPR",0.00231396254868794,0.0136266683422735,"BH","Indole alkaloid biosynthesis",NA,"Metabolism; Biosynthesis of other secondary metabolites","Indole alkaloid biosynthesis","Metabolism"," Biosynthesis of other secondary metabolites"
"ko00905","edgeR","Control","EBPR",3.53772177193252e-15,2.75303468931282,-0.378850463640433,"Control vs EBPR","edgeR","Control","EBPR",3.53772177193252e-15,6.24997513041412e-14,"BH","Brassinosteroid biosynthesis","Brassinosteroids are a group of plant steroid hormones that regulate growth and development. More than fifty naturally occurring brassinosteroids have been identified in a wide range of plant species. The most abundant and widely occurring brassinosteroids are C28 steroids, and among them brassinolide (BL) is the most biologically active. Plants have multiple pathways for biosynthesis of BL, which are derived from the steroid biosynthetic pathway. Two pathways from campestanol to castasterone (CS), C6 oxidation and the late-C6 oxidation pathways, operate in many plants. Another branching pathway, the early-C22 oxidation pathway, was demonstrated using a brassinosteroid-deficient mutant of Arabidopsis thaliana. Recently, a new shortcut pathway from campesterol to 6-deoxotyphasterol was demonstrated by a functional analysis of cytochrome P450 monooxygenases responsible for brassinosteroid biosynthesis. Thus, at least four pathways are involved in the biosynthesis of CS, and CS is further metabolized to BL by lactonization of the B ring.","Metabolism; Metabolism of terpenoids and polyketides","Brassinosteroid biosynthesis","Metabolism"," Metabolism of terpenoids and polyketides"
"ko00909","edgeR","Control","EBPR",1.19443939555311e-07,-1.43602317736207,7.23830286087683,"Control vs EBPR","edgeR","Control","EBPR",1.19443939555311e-07,1.21740938392913e-06,"BH","Sesquiterpenoid and triterpenoid biosynthesis","Sesquiterpenoids (C15 terpenoids) are a group of terpenoids consisting of three isoprene units. They are derive from farnesyl diphosphate (FPP) and can be cyclized to produce various skeletal structures. Sesquiterpenoid biosynthesis begins with the loss of diphosphate from FPP under the action of sesquiterpene synthesis enzymes, generating an allylic cation that is highly susceptible to intramolecular attacks. Cyclization of the farnesyl cation may take place onto either of the remaining double bonds with the result that 6-, 10-, or 11-membered rings may be formed. Many sesquiterpenoids have been isolated from plants, fungi, marine organisms, and Streptomyces species. This map shows a few examples of acyclic and cyclic sesquiterpenoids.","Metabolism; Metabolism of terpenoids and polyketides","Sesquiterpenoid and triterpenoid biosynthesis","Metabolism"," Metabolism of terpenoids and polyketides"
"ko01056","edgeR","Control","EBPR",1.97275473937011e-11,-1.8402284364174,8.43335718666756,"Control vs EBPR","edgeR","Control","EBPR",1.97275473937011e-11,2.61390002966539e-10,"BH","Biosynthesis of type II polyketide backbone",NA,"Metabolism; Metabolism of terpenoids and polyketides","Biosynthesis of type II polyketide backbone","Metabolism"," Metabolism of terpenoids and polyketides"
