"to","from","weight","color","weight_abs","target_species","source_species","Treatment","from_Kingdom","from_Phylum","from_Class","from_Order","from_Family","from_Genus","from_Species","to_Kingdom","to_Phylum","to_Class","to_Order","to_Family","to_Genus","to_Species"
"1ae76587d5490a489cf3ee10540ddf05","0a9495dc2a22f1eefcd9e4e4ebd2617f",0.105,"darkblue",0.105,"Genus:Aromatoleum","Genus:ELB16-189","EBPR","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Aromatoleum","Genus:Aromatoleum","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","ELB16-189","Genus:ELB16-189"
"1b9a7c868176db41ab413e3675f8225c","1950f790c3f5306e08d16bbcb71a0658",0.0799,"darkblue",0.0799,"Genus:REDI01","Genus:Rhizomicrobium","EBPR_AMF","Bacteria","Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae","Rhizomicrobium","Genus:Rhizomicrobium","Bacteria","Myxococcota","UBA796","UBA796","GCA-2862545","REDI01","Genus:REDI01"
"1c2b8892a0d7f828d72808cd01cfd199","0d6cdab8d3abc62b38ef5d70ffffde98",0.00273,"darkblue",0.00273,"Genus:Stenotrophobium","Genus:Devosia","AMF","Bacteria","Proteobacteria","Gammaproteobacteria","Nevskiales","Nevskiaceae","Stenotrophobium","Genus:Stenotrophobium","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia","Genus:Devosia"
"29e1fbe832ebeacb55e1d087022e4ab6","1ae76587d5490a489cf3ee10540ddf05",0.161,"darkblue",0.161,"Genus:ELB16-189","Genus:Nocardioides","AMF","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","ELB16-189","Genus:ELB16-189","Bacteria","Actinobacteriota","Actinomycetia","Propionibacteriales","Nocardioidaceae","Nocardioides","Genus:Nocardioides"
"2e55ec639999a5f78b2ad9c1a83cb5e3","1137908dfe3b63a4b7903e49e76dbef7",0.197,"darkblue",0.197,"Family:Chitinophagaceae","Genus:Streptomyces","EBPR","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Family:Chitinophagaceae","Family:Chitinophagaceae","Bacteria","Actinobacteriota","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","Genus:Streptomyces"
"2e55ec639999a5f78b2ad9c1a83cb5e3","21d05aac8070d05f493325ca352fde48",0.091,"darkblue",0.091,"Genus:Fluviicola","Genus:Streptomyces","EBPR_AMF","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola","Genus:Fluviicola","Bacteria","Actinobacteriota","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","Genus:Streptomyces"
"33a198a979ec6f8252b36eb5ae643d5e","0ca2f233ad14bf741105199f087506db",0.062,"darkblue",0.062,"Genus:Kouleothrix","Family:Xanthomonadaceae","EBPR","Bacteria","Chloroflexota","Chloroflexia","Chloroflexales","Roseiflexaceae","Kouleothrix","Genus:Kouleothrix","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Family:Xanthomonadaceae","Family:Xanthomonadaceae"
"33a198a979ec6f8252b36eb5ae643d5e","2540caba6ee4758f7b138bbe10835346",0.0179,"darkblue",0.0179,"Genus:Castellaniella","Family:Xanthomonadaceae","AMF","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Castellaniella","Genus:Castellaniella","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Family:Xanthomonadaceae","Family:Xanthomonadaceae"
"384cc1ed47f9717cbaf2e9985e2576dc","34b8f9e53bd9a463bffcf9afe5d97457",0.000899,"darkblue",0.000899,"Genus:SCN-69-37","Genus:Niastella","Vermont","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella","Genus:Niastella","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","SCN-69-37","SCN-69-37","Genus:SCN-69-37"
"384cc1ed47f9717cbaf2e9985e2576dc","0fe129715f2638c56da85e85b1e40bb2",0.056,"darkblue",0.056,"Genus:SCN-69-37","Family:Moraxellaceae","Vermont_AMF","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Family:Moraxellaceae","Family:Moraxellaceae","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","SCN-69-37","SCN-69-37","Genus:SCN-69-37"
