pathway	A1	A11	A12	A2	A3	A4	A6	A7	A8	A9	C10	C11	C12	C2	C3	C4	C6	C7	C8	C9	E1	E10	E11	E12	E3	E5	E6	E7	E8	E9	EA1	EA10	EA11	EA12	EA3	EA4	EA5	EA6	EA8	EA9	V1	V10	V11	V12	V2	V4	V6	V7	V8	V9	VA1	VA10	VA11	VA12	VA2	VA3	VA4	VA5	VA6	VA7
K00001	8129.51	16500.36	5668.67	9398.49	12761	6895.82	8379.98	7837.02	12154.39	7492.52	10028.18	7872.32	10330.85	8065.02	5172.51	7631.93	10703.34	8869.25	10136.66	11984.95	19527.02	20388.92	9464.04	6067.14	5783.8	12558.08	7596.22	8268.35	7470.35	7528.94	7015.17	8976.95	9194.3	4828.1	5155.07	5345	6596.29	9622.36	15217.75	13350.18	3472.66	7275.84	10272.21	10471.98	7475	5106.66	11552.65	9841.82	12383.35	7679.5	5245.5	7488.09	5291.34	6523.16	6125.85	8050.75	6764.57	6281.21	8393.23	6332.65
K00002	0	10	0	0	0	0	0	0	2	0	15	28	15	20	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	3	0	4	0	0	12	17	35	1.33	14	49	22	28	0	0	0	0	0	0	0	0	0	0	0
K00003	12239.82	26626.44	8024.1	15757.86	15314.54	9064.54	12330.86	12660.51	14547.92	10545.15	16096.63	15236.52	17922.97	16430.15	9742.09	12280.37	12176.63	16670.73	11651.96	20549.71	27179.27	28019.13	12537.92	9063.24	7614.18	17151.65	11121.72	11029.71	9975.43	10081.03	9657.16	12414.81	11557.42	6339.63	6330.75	6473.57	9003.83	13344.97	20429.68	16561.08	9176.97	18594.06	18035.72	21685.12	12579.26	9974.71	25168.75	17330.87	22247.56	14072.4	6919.07	11511.19	8131.07	12611.8	8983.34	11152.07	10624.11	13339.29	11202.86	13339.39
K00004	789.67	2181.83	378.67	1472.5	1068.33	527.33	673.33	1213.5	927.08	553.5	982.75	2097.39	1419.84	2268.06	802.67	692.12	1065.16	2260.38	962.67	1722.34	1384.39	2089.33	851.5	302.83	391	1262.89	629.66	583.34	531.83	655.09	912.17	1040	1331.78	294.67	310	498	467	1262.17	1091.17	941.08	196.5	580.17	560.17	918.33	318	421	695	425	1059.92	579	451.17	913.84	662.34	1134	779.5	673.83	798	1332.5	627.39	1162
K00005	162.5	635.5	96.76	390	224.24	95.5	113.24	263	266.34	131.5	183.24	550.5	220.5	521.76	148.5	60.24	261	466	202	277.24	348.01	421.76	189	107.24	120.76	299.5	119.5	161.24	157.43	146.76	139.5	183.24	159.76	179.5	29.24	111.76	152.24	194.88	235.46	217.08	84	185.5	197.67	236	128	123.76	380	234.24	291.5	178.5	58	186.43	148.76	93	117.76	140.5	155.5	66.5	173.76	29
K00006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	12	0	0	10	0	0	0	0	0	0	0	0	6	0	0	3	11	0	0	0	0	0	0	9	0	0	0	0
K00007	225.17	645.25	228.05	359	564.45	501.58	326.95	237.5	769.88	305.75	451.62	847.41	628.42	873.88	295.92	198.12	255.66	1027.25	461.42	677.95	252.55	454.21	292.33	48.45	128.88	294.42	82.91	238.46	194.71	188.22	102.42	299.62	355.05	236.42	307.45	456.38	314.12	274.67	706.05	877.58	79	362.92	237.17	353.33	169	141.88	306	302.12	479.67	177.75	175.67	91.72	62.05	118	124.88	340.37	130.75	117.75	218.05	154
K00008	1520.51	3538.92	1319.17	2285	3609	1509.33	1365.66	1811.5	3230.83	1655.5	1930	3348.99	2124.51	3568	1195.17	1333.67	3831.33	3854.17	3766.34	2566.66	7883.17	8637.66	3922.83	2288.16	2579	7120.1	2828.49	3114.51	4123.16	3857.01	2972.84	3333.67	4049.34	1456.01	1322.5	1722.34	2039	4094.68	4773.25	4133.25	915	1727.17	3339.18	2354.49	1770.66	988.67	3041.5	2529.66	4888.33	1729.5	1217.33	4187.67	3013.5	1671	1273.17	2140.32	4023.17	1684.67	2080.68	1493.67
K00009	1537	3561.25	667.38	2675.5	1221.29	758.25	1200.62	2095.5	1067.88	887.75	1594.62	2699.75	2560.75	3173.88	1575.75	1218.12	509.67	2884.25	543.25	3054.62	1575.63	2235.88	961.5	629.12	477.38	1516.25	722.25	962.12	434.38	947.38	995.75	1147.12	1158.05	526.75	434.12	629.38	821.12	1419.88	1396.58	1184.33	387.5	699.75	487.5	1121	354	593.88	957	571.12	1229	584.25	892.5	1187.88	959.38	2132	1169.38	1143.25	1039.75	2389.75	1144.38	2259.5
K00010	5385.32	25081.7	2331.06	13046.14	8380.3	2816.25	5809.3	11036.69	7539.79	2941.6	15239.78	9230.58	19936.24	8870.36	9251.06	12554.98	7734.97	9561.74	7062.24	21581.61	21552.72	14546.98	6715.96	6478.36	4074.8	8698.69	8342.3	5979.52	5411.39	5742.6	6176.75	7583.71	6625.39	3908.79	4713.11	3982.21	4923.38	7889.18	12981.88	9414.5	11952.01	28683.25	20166.34	28356.98	14143.84	12963.21	31059.15	18734.46	21790.18	17852.91	6599.69	5508.49	4199.99	11858.17	6456.07	7508.54	5232.83	11900.26	7243.86	12706.96
